"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Jones Lang LaSalle","JLL","Neutral","Sell","Buy","Strong Buy"
"KB Home","KBH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"KBR","KBR","Buy","Strong Buy","Strong Buy","Strong Buy"
"Kemper","KMPR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kennametal","KMT","Strong Buy","Strong Buy","Neutral","Neutral"
"Keysight Technologies","KEYS","Buy","Neutral","Strong Buy","Strong Buy"
"Kilroy","KRC","Strong Buy","Neutral","Neutral","Buy"
"Kirby","KEX","Neutral","Neutral","Neutral","Strong Buy"
"KLX Inc","KLXI","Strong Sell","Neutral","Neutral","Strong Buy"
"Knowles Cor","KN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Lamar","LAMR","Strong Sell","Buy","Strong Buy","Strong Buy"
"Lancaster Colony","LANC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Landstar","LSTR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"LaSalle","LHO","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Leidos Holdings","LDOS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lennox","LII","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Liberty Property","LPT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Life Storage","LSI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"LifePoint Health","LPNT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lincoln Electrics","LECO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"LivaNova PLC","LIVN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Live Nation Entertainment","LYV","Strong Sell","Sell","Strong Buy","Strong Buy"
"Louisiana-Pacific","LPX","Strong Buy","Buy","Neutral","Buy"
"Mack-Cali","CLI","Strong Sell","Strong Sell","Neutral","Strong Sell"
"Manhattan Associates","MANH","Strong Buy","Neutral","Strong Buy","Strong Buy"
"ManpowerGroup","MAN","Neutral","Neutral","Sell","Neutral"
"MarketAxesss","MKTX","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Maximus","MMS","Neutral","Neutral","Buy","Neutral"
"MB Financial","MBFI","Strong Sell","Buy","Strong Buy","Strong Buy"
"MDU Resources","MDU","Strong Buy","Neutral","Buy","Strong Buy"
"Medical Properties","MPW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Mednax","MD","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Mercury General","MCY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Meredith","MDP","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Mid-America Apartment","MAA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Minerals Technologies","MTX","Strong Sell","Strong Sell","Buy","Strong Buy"
"Molina Healthcare","MOH","Buy","Strong Buy","Strong Buy","Strong Buy"
"Monolithic","MPWR","Strong Buy","Neutral","Strong Buy","Strong Buy"
"MSA Safety","MSA","Strong Sell","Neutral","Strong Buy","Strong Buy"
"MSC Industrial Direct","MSM","Strong Sell","Neutral","Strong Sell","Neutral"
"MSCI","MSCI","Sell","Sell","Strong Buy","Strong Buy"
"Murphy USA Inc","MUSA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Nabors Industries","NBR","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"National Fuel Gas","NFG","Strong Sell","Strong Sell","Neutral","Strong Sell"
"National Instruments","NATI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"National Retail Properties","NNN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NCR","NCR","Buy","Strong Sell","Strong Sell","Strong Sell"
"NetScout","NTCT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"NewJersey Resources","NJR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NewMarket","NEU","Neutral","Buy","Strong Buy","Neutral"
"NewYork Community Bancorp","NYCB","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"NewYork Times","NYT","Strong Sell","Strong Sell","Buy","Strong Buy"
"Noble Corporation","NE","Strong Sell","Neutral","Buy","Buy"
"Nordson","NDSN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NorthWestern","NWE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Now Inc","DNOW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NuVasive","NUVA","Neutral","Strong Buy","Strong Buy","Strong Buy"
"NVR","NVR","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Oceaneering","OII","Strong Sell","Neutral","Strong Buy","Buy"
"Office Depot","ODP","Buy","Strong Sell","Strong Sell","Strong Sell"
"OGE Energy","OGE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Oil States","OIS","Strong Sell","Sell","Sell","Strong Buy"
"Old Dominion Freight Line","ODFL","Neutral","Buy","Neutral","Strong Buy"
"Old Republic","ORI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Olin","OLN","Strong Buy","Strong Buy","Neutral","Sell"
"Omega Healthcare","OHI","Strong Buy","Neutral","Neutral","Strong Buy"
"One Gas Inc","OGS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Oshkosh","OSK","Buy","Strong Sell","Sell","Neutral"
"Owens&Minor","OMI","Neutral","Strong Buy","Buy","Strong Sell"
"Packaging America","PKG","Neutral","Strong Sell","Strong Sell","Neutral"
"PacWest","PACW","Strong Sell","Sell","Sell","Buy"
"Patterson-UTI Energy","PTEN","Strong Sell","Sell","Strong Sell","Strong Sell"
"Plantronics","PLT","Neutral","Strong Sell","Neutral","Strong Buy"
"PNM Resources","PNM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Polaris Industries","PII","Strong Buy","Strong Sell","Strong Sell","Neutral"
"PolyOne","POL","Strong Sell","Sell","Strong Buy","Strong Buy"
"Pool","POOL","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Post","POST","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Potlatch","PCH","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Prestige Brand","PBH","Strong Buy","Neutral","Neutral","Sell"
"Primerica","PRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Prosperity Bancshares","PB","Strong Buy","Strong Buy","Neutral","Strong Buy"
"PTC","PTC","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"QEP Resources","QEP","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Raymond James Financial","RJF","Neutral","Strong Sell","Sell","Strong Buy"
"Rayonier","RYN","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Regal Beloit","RBC","Strong Sell","Buy","Strong Buy","Strong Buy"
"Regency Centers","REG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Reinsurance of America","RGA","Strong Buy","Strong Buy","Neutral","Neutral"
"Reliance Steel&Aluminum","RS","Sell","Strong Sell","Sell","Strong Buy"
"Renaissancere","RNR","Neutral","Strong Buy","Strong Buy","Neutral"
"ResMed","RMD","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"RH","RH","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Rollins","ROL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Rowan","RDC","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Royal Gold","RGLD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"RPM","RPM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Sally Beauty","SBH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"SCI","SCI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Scnc App In","SAIC","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Scotts Miracle-Gro","SMG","Strong Buy","Strong Sell","Strong Sell","Sell"
"SEI","SEIC","Buy","Strong Sell","Strong Sell","Sell"
"Senior Housing Properties","SNH","Strong Buy","Strong Buy","Strong Buy","Sell"
"Sensient Technologies","SXT","Strong Buy","Sell","Strong Sell","Strong Sell"
"Signature","SBNY","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Silgans","SLGN","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Silicon Labs","SLAB","Sell","Strong Sell","Sell","Strong Buy"
"Skechers","SKX","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"SLM","SLM","Neutral","Strong Sell","Strong Sell","Buy"
"SM Energy","SM","Strong Buy","Strong Buy","Strong Buy","Buy"
"Sonoco Products","SON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Sotheby’s","BID","Neutral","Strong Sell","Sell","Strong Buy"
"Southwest Gas Hold","SWX","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Sprouts Farmers","SFM","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Steel Dynamics","STLD","Strong Sell","Strong Sell","Sell","Strong Buy"
"Steris PLC","STE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Stifel","SF","Neutral","Buy","Neutral","Neutral"
"Superior Energy Services","SPN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"SVB","SIVB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Synaptics","SYNA","Strong Buy","Neutral","Neutral","Buy"
"Synnex","SNX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Synopsys","SNPS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Synovus","SNV","Neutral","Strong Sell","Sell","Strong Buy"
"Tanger Factory Outlet Centers","SKT","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Taubman Centers","TCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"TCF Financial","TCF","Sell","Buy","Strong Buy","Strong Buy"
"Tech Data","TECD","Sell","Strong Sell","Sell","Neutral"
"Teledyne Technologies","TDY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Teleflex","TFX","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Telephone&Data Systems","TDS","Strong Buy","Strong Buy","Sell","Sell"
"Tempur Sealy","TPX","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Tenet Healthcare","THC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Teradyne","TER","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Terex","TEX","Sell","Strong Sell","Neutral","Buy"
"Texas Roadhouse","TXRH","Neutral","Strong Sell","Neutral","Strong Buy"
"The Cheesecake","CAKE","Sell","Strong Sell","Strong Sell","Neutral"
"The Hain Celestial","HAIN","Strong Buy","Strong Buy","Sell","Strong Sell"
"The Hanover Insurance","THG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"The Ultimate Software","ULTI","Strong Buy","Neutral","Strong Buy","Strong Buy"
"The Wendy’s Co","WEN","Strong Buy","Strong Sell","Sell","Strong Buy"
"Thor Industries","THO","Strong Buy","Neutral","Strong Sell","Sell"
"Timken","TKR","Strong Sell","Buy","Strong Buy","Buy"
"Toll Brothers","TOL","Buy","Strong Sell","Strong Sell","Strong Sell"
"Tootsie Roll Industries","TR","Buy","Strong Sell","Strong Sell","Strong Sell"
"Toro","TTC","Neutral","Strong Sell","Strong Sell","Neutral"
"Treehouse Foods","THS","Strong Buy","Neutral","Neutral","Strong Sell"
"TRI Pointe Homes","TPH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Trimble","TRMB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Trinity Industries","TRN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Triumph","TGI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Trustmark","TRMK","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Tupperware Brands","TUP","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Tyler Technologies","TYL","Sell","Strong Sell","Neutral","Strong Buy"
"UGI","UGI","Buy","Strong Buy","Strong Buy","Strong Buy"
"Umpquas","UMPQ","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"United Natural Foods","UNFI","Buy","Strong Sell","Strong Sell","Strong Sell"
"United States Steel","X","Strong Sell","Strong Sell","Strong Sell","Neutral"
"United Therapeutics","UTHR","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Uniti Group","UNIT","Strong Buy","Sell","Strong Sell","Sell"
"Urban Edge Properties","UE","Strong Buy","Strong Buy","Buy","Neutral"
"Valley National","VLY","Strong Sell","Strong Sell","Strong Sell","Sell"
"Valmont Industries","VMI","Strong Buy","Neutral","Strong Sell","Sell"
"Vectren","VVC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Verifone","PAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Versum Materials","VSM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ViaSat","VSAT","Sell","Strong Buy","Strong Buy","Strong Buy"
"Vishay Intertechnology","VSH","Neutral","Sell","Strong Buy","Strong Buy"
"Vista Outdoor Inc","VSTO","Neutral","Buy","Sell","Strong Sell"
"Waddell&Reed Financial","WDR","Strong Buy","Strong Buy","Buy","Sell"
"Washington Federal","WAFD","Strong Sell","Buy","Strong Buy","Strong Buy"
"Washington Prime","WPG","Neutral","Strong Buy","Buy","Neutral"
"Watsco","WSO","Sell","Strong Sell","Strong Sell","Strong Buy"
"Webster Financial","WBS","Buy","Neutral","Strong Buy","Strong Buy"
"Weingarten","WRI","Strong Buy","Strong Buy","Strong Buy","Buy"
"WellCare Health Plans","WCG","Buy","Strong Buy","Strong Buy","Strong Buy"
"Werner","WERN","Strong Sell","Strong Sell","Strong Sell","Buy"
"West Pharmaceutical Services","WST","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Westinghouse Air Brake","WAB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Wex","WEX","Sell","Strong Sell","Strong Buy","Strong Buy"
"Williams-Sonoma","WSM","Buy","Strong Sell","Buy","Strong Buy"
"WisdomTree","WETF","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Woodward","WWD","Strong Sell","Strong Sell","Buy","Strong Buy"
"World Fuel Services","INT","Neutral","Strong Buy","Strong Buy","Strong Sell"
"Worthington Industries","WOR","Strong Buy","Strong Buy","Strong Buy","Buy"
"WPX Energy","WPX","Strong Sell","Neutral","Strong Buy","Strong Buy"
"WR Berkley","WRB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
