"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"3D Systems","DDD","-2.87%","3.55%","-10.89%","48.73%","-4.60%","9.83%"
"Aarons","AAN","0.46%","5.82%","5.17%","15.43%","-0.82%","22.50%"
"ABIOMED","ABMD","1.32%","2.15%","-5.86%","101.22%","149.73%","305.97%"
"ACI Worldwide","ACIW","1.69%","3.29%","5.39%","19.10%","22.62%","16.78%"
"Acxiom","ACXM","0.49%","-1.67%","2.76%","47.42%","62.00%","121.42%"
"Adtalem Education","ATGE","-0.54%","0.73%","11.07%","31.27%","65.52%","85.36%"
"Aecom Technology","ACM","0.21%","3.41%","2.91%","-9.45%","7.99%","10.19%"
"AGCO","AGCO","1.81%","2.57%","3.18%","-12.43%","-12.98%","12.22%"
"Akorn","AKRX","1.97%","2.03%","6.10%","-42.29%","-44.43%","-58.78%"
"Alexander&Baldwin","ALEX","1.34%","3.87%","-1.55%","-12.87%","-43.09%","-35.55%"
"Alexandria RE","ARE","1.12%","4.01%","-0.15%","-2.40%","5.68%","37.72%"
"Align","ALGN","-1.20%","2.75%","6.48%","63.60%","114.71%","485.65%"
"Alleghany","Y","2.12%","2.88%","10.13%","7.87%","5.90%","29.13%"
"Allegheny Technologies","ATI","-1.69%","-3.12%","7.36%","13.01%","47.06%","29.66%"
"Allscripts","MDRX","10.01%","12.88%","12.42%","-4.81%","5.56%","-4.68%"
"AMC Networks","AMCX","3.57%","2.52%","-2.50%","12.00%","-2.71%","-22.85%"
"AMD","AMD","-1.60%","-2.38%","19.29%","79.86%","40.93%","756.02%"
"American Campus","ACC","1.00%","1.47%","-4.27%","0.61%","-12.30%","12.69%"
"American Eagle Outfitters","AEO","1.07%","2.73%","8.49%","35.90%","116.71%","43.78%"
"American Financial","AFG","-0.76%","0.26%","5.87%","3.91%","7.77%","61.90%"
"ANSYS","ANSS","0.07%","-0.51%","-1.20%","17.40%","39.37%","84.29%"
"AO Smith","AOS","-0.02%","-0.64%","-2.00%","-4.13%","6.95%","62.97%"
"AptarGroup","ATR","1.09%","1.17%","10.11%","20.65%","26.40%","51.29%"
"Aqua America","WTR","0.63%","0.30%","1.99%","-5.86%","9.55%","43.81%"
"Arris","ARRS","1.43%","-5.76%","-6.05%","-7.59%","-15.70%","-18.70%"
"Arrow Electronics","ARW","-1.16%","2.23%","0.03%","-4.64%","-3.92%","29.70%"
"Ascena Retail","ASNA","3.34%","17.54%","9.54%","71.06%","57.03%","-67.87%"
"Ashland Global","ASH","0.06%","2.82%","8.09%","19.30%","33.81%","-26.14%"
"Aspen Insurance Holdings","AHL","-1.30%","-5.71%","-7.78%","-6.53%","-21.83%","-22.09%"
"Associated Banc-Corp","ASB","-0.37%","-1.81%","-0.91%","7.09%","15.99%","36.07%"
"Atmos Energy","ATO","0.26%","1.05%","-0.24%","6.92%","5.32%","67.05%"
"Avanos Medical","AVNS","0.37%","2.09%","-0.94%","23.75%","34.12%","66.72%"
"Avis","CAR","3.35%","6.86%","6.51%","-19.05%","10.28%","-18.98%"
"Avnet","AVT","-0.41%","0.78%","0.34%","10.70%","14.82%","0.02%"
"Avon Products","AVP","4.07%","17.76%","10.49%","-16.74%","-37.63%","-70.27%"
"Bancorpsouth Bank","BXS","-1.19%","-0.15%","-1.19%","5.56%","9.57%","30.09%"
"Bank of Hawaii","BOH","0.66%","0.72%","-1.75%","-3.75%","-1.81%","20.71%"
"Bank Ozk","OZK","-1.95%","-0.59%","-10.08%","-16.08%","-7.08%","-9.98%"
"Belden","BDC","-1.49%","8.55%","11.38%","-9.98%","-4.22%","18.33%"
"Bemis","BMS","11.27%","13.15%","21.68%","7.83%","21.45%","14.66%"
"Big Lots","BIG","0.62%","5.62%","11.36%","-19.02%","-10.42%","5.08%"
"Bio-Rad Labs","BIO","0.15%","1.54%","5.85%","30.80%","37.34%","109.31%"
"Bio-Techne","TECH","0.07%","2.41%","12.16%","28.40%","44.22%","49.77%"
"Black Hills","BKH","-0.12%","0.57%","-4.56%","-0.13%","-13.64%","46.02%"
"Boston Beer","SAM","3.90%","-0.70%","-9.62%","44.22%","85.65%","18.17%"
"Brinker","EAT","-2.44%","-9.18%","-8.56%","14.11%","27.69%","-25.31%"
"Broadridge","BR","0.42%","-1.99%","-0.79%","26.95%","51.98%","111.53%"
"Brown&Brown","BRO","0.34%","0.03%","4.16%","13.84%","32.96%","-12.88%"
"Brunswick","BC","0.33%","2.07%","-3.36%","15.21%","13.67%","19.77%"
"Cable One Inc","CABO","1.67%","0.67%","-2.46%","3.05%","-4.80%","73.81%"
"Cabot Corp","CBT","1.64%","1.89%","8.44%","8.49%","26.87%","94.07%"
"Cadence Design","CDNS","0.16%","-1.04%","0.70%","7.05%","23.67%","112.18%"
"Camden Property","CPT","1.48%","3.91%","2.64%","1.94%","4.74%","19.02%"
"Carlisle","CSL","0.97%","2.23%","13.50%","9.91%","26.98%","21.31%"
"Carpenter Technology","CRS","0.72%","4.95%","8.26%","15.18%","47.30%","58.22%"
"Carters","CRI","0.33%","2.67%","-2.69%","-9.25%","17.04%","5.27%"
"Caseys","CASY","0.25%","1.65%","5.20%","-1.12%","1.12%","4.74%"
"Catalent Inc","CTLT","-2.05%","-2.30%","-1.68%","1.39%","21.61%","21.75%"
"Cathay","CATY","-1.25%","0.02%","2.25%","-0.69%","11.50%","28.35%"
"CBOE Holdings","CBOE","-1.22%","-7.38%","-8.07%","-24.05%","1.21%","50.16%"
"CDK Global Holdings LLC","CDK","0.85%","-1.01%","-4.95%","-11.99%","1.08%","23.78%"
"Charles River Laboratories","CRL","0.66%","4.47%","11.91%","16.70%","28.33%","67.62%"
"Chemical","CHFC","-1.36%","-2.78%","1.29%","5.84%","20.02%","67.97%"
"Chicos FAS","CHS","4.79%","6.50%","8.25%","4.08%","-0.54%","-38.92%"
"Churchill Downs","CHDN","-0.45%","-1.12%","-6.89%","19.40%","42.16%","97.13%"
"Ciena Corp","CIEN","0.39%","0.67%","-5.34%","21.98%","2.74%","3.49%"
"Cinemark","CNK","1.26%","1.20%","-4.26%","1.90%","-9.35%","-7.14%"
"Cirrus","CRUS","3.24%","0.70%","3.24%","-20.07%","-27.85%","38.26%"
"Clean Harbors","CLH","-1.10%","9.65%","9.36%","14.00%","14.07%","24.48%"
"CNO Financial","CNO","-0.22%","10.06%","14.31%","-10.04%","-4.60%","24.78%"
"CNX Resources","CNX","1.27%","0.57%","-7.11%","9.02%","23.07%","14.75%"
"Cognex","CGNX","2.03%","15.81%","15.91%","-13.54%","5.42%","40.98%"
"Commerce Bancshares","CBSH","-0.45%","0.48%","5.54%","22.47%","23.38%","58.27%"
"Commercial Metals","CMC","-1.85%","-4.36%","-1.71%","-0.28%","12.90%","34.64%"
"CommVault","CVLT","-1.72%","3.14%","-3.81%","25.05%","8.69%","71.63%"
"Compass Minerals","CMP","2.78%","0.88%","4.27%","-5.26%","0.81%","-15.00%"
"Comscore","SCOR","-0.97%","-0.92%","-12.87%","-31.61%","-34.60%","-68.44%"
"Convergys","CVG","-0.33%","-0.20%","-4.57%","3.91%","2.18%","1.33%"
"Copart","CPRT","-0.64%","0.86%","0.47%","32.97%","83.48%","215.90%"
"CoreCivic","CXW","-1.40%","0.36%","5.48%","12.89%","-6.62%","-25.97%"
"CoreLogic","CLGX","-0.55%","0.55%","-6.28%","6.60%","8.31%","26.37%"
"Corporate Office Properties","OFC","1.24%","0.80%","1.89%","3.18%","-7.24%","31.80%"
"Cousins Properties","CUZ","0.32%","2.18%","-3.20%","1.51%","1.95%","-6.10%"
"Cracker Barrel Old","CBRL","-0.08%","-0.78%","-5.78%","-8.38%","-4.88%","-5.79%"
"Crane","CR","0.55%","0.84%","11.34%","0.39%","17.50%","69.38%"
"Cree","CREE","2.85%","3.55%","8.42%","32.07%","102.77%","96.91%"
"Cullen/Frost Bankers","CFR","-1.61%","0.59%","3.66%","18.80%","21.89%","55.60%"
"Curtiss-Wright","CW","0.02%","1.51%","10.18%","8.22%","35.95%","95.42%"
"Cypress","CY","-0.73%","-2.27%","11.20%","15.94%","26.85%","57.77%"
"Dana","DAN","0.00%","4.31%","3.13%","-34.21%","-13.15%","12.92%"
"DCT Industrial","DCT","1.45%","2.95%","1.48%","15.77%","19.85%","97.76%"
"Dean Foods","DF","1.15%","-0.92%","-10.19%","-16.09%","-34.81%","-46.64%"
"Deckers Outdoor","DECK","-1.67%","3.73%","0.36%","43.51%","79.67%","60.52%"
"Deluxe","DLX","0.45%","-0.50%","-12.70%","-24.31%","-17.14%","-9.63%"
"Denbury Resources","DNR","-2.00%","5.25%","-7.74%","99.55%","219.57%","41.80%"
"Diamond Offshore Drilling","DO","0.43%","-2.67%","-5.10%","-0.00%","49.56%","-11.26%"
"Dick’s Sporting Goods","DKS","-0.12%","1.70%","-3.73%","16.67%","-11.69%","-35.52%"
"Diebold","DBD","4.48%","-35.48%","-44.88%","-57.19%","-68.96%","-79.94%"
"Domino’s Pizza","DPZ","0.99%","7.21%","0.63%","47.91%","42.03%","144.32%"
"Domtar Corporation","UFS","2.84%","4.72%","4.80%","0.87%","30.11%","24.32%"
"Donaldson","DCI","0.69%","2.24%","6.57%","-2.21%","0.78%","43.84%"
"Douglas Emmett","DEI","0.59%","3.00%","-2.52%","-3.87%","2.33%","33.66%"
"Dril-Quip","DRQ","-1.96%","-4.02%","-3.19%","5.03%","17.61%","-14.05%"
"Duke","DRE","0.72%","2.48%","0.62%","8.01%","2.44%","49.72%"
"Dunkin Brands","DNKN","-0.11%","1.34%","2.19%","9.37%","28.36%","29.73%"
"DXC Technology","DXC","0.35%","0.62%","3.85%","-8.96%","9.76%","213.50%"
"Dycom Industries","DY","-0.16%","-2.13%","-9.64%","-21.02%","4.51%","36.28%"
"Eagle Materials","EXP","0.29%","-8.05%","-5.90%","-12.04%","5.87%","25.75%"
"East West Bancorp","EWBC","-1.35%","-1.38%","-0.73%","6.94%","12.04%","43.50%"
"Eaton Vance","EV","0.65%","-2.17%","-0.29%","-7.24%","8.19%","35.06%"
"Edgewell Personal Care","EPC","1.71%","3.60%","7.10%","-7.00%","-22.48%","-41.62%"
"Education RT","EDR","0.17%","0.63%","-0.91%","18.56%","9.87%","36.45%"
"EMCOR","EME","-0.85%","-0.26%","-1.27%","-6.92%","14.06%","58.72%"
"Energen","EGN","0.18%","0.58%","0.72%","29.03%","48.71%","41.49%"
"Energizer","ENR","4.45%","1.74%","2.20%","35.47%","57.81%","64.77%"
"Enersys","ENS","-1.75%","1.72%","5.92%","14.81%","9.67%","30.00%"
"Ensco PLC","ESV","-0.81%","3.53%","3.68%","24.03%","37.78%","-54.61%"
"EPR Properties","EPR","1.13%","4.61%","4.10%","5.12%","-1.31%","21.96%"
"Esterline","ESL","1.84%","0.94%","16.30%","14.59%","2.15%","-2.44%"
"Everest","RE","0.33%","-2.43%","-4.31%","-0.26%","-16.93%","19.66%"
"Evergy","EVRG","0.64%","1.54%","-0.67%","6.40%","9.51%","50.90%"
"FactSet Research","FDS","0.31%","-0.23%","1.42%","5.21%","23.82%","18.69%"
"Fair Isaac","FICO","-0.47%","2.53%","6.27%","35.87%","48.16%","127.29%"
"Federated Investors B","FII","0.61%","-2.26%","-3.21%","-36.50%","-17.83%","-32.48%"
"First American","FAF","0.64%","1.44%","11.71%","1.77%","17.08%","37.72%"
"First Horizon National","FHN","-0.92%","3.29%","2.59%","-8.80%","2.76%","13.44%"
"First Industrial RT","FR","0.85%","3.93%","-2.27%","5.12%","8.82%","59.34%"
"Flowers Foods","FLO","3.07%","6.39%","0.70%","11.19%","21.23%","-2.41%"
"FNB","FNB","-0.46%","0.39%","-3.20%","-5.86%","-4.83%","-3.41%"
"Fortinet","FTNT","-0.18%","11.88%","14.46%","68.53%","99.86%","50.79%"
"Fossil","FOSL","3.38%","17.52%","4.65%","270.40%","147.25%","-55.04%"
"FTI Consulting","FCN","-1.43%","4.91%","24.18%","84.43%","144.09%","96.50%"
"Fulton","FULT","-2.27%","-0.86%","4.23%","-3.63%","-4.70%","31.88%"
"GameStop Corp","GME","1.57%","0.13%","1.50%","-17.27%","-32.28%","-67.99%"
"Gartner","IT","2.51%","1.39%","1.38%","12.22%","8.87%","50.38%"
"Genesee&Wyoming","GWR","0.20%","6.29%","8.49%","12.28%","32.04%","20.95%"
"Gentex","GNTX","0.09%","2.03%","-0.22%","10.26%","33.91%","41.98%"
"Genworth","GNW","-0.43%","-0.65%","-0.22%","47.27%","33.92%","-18.94%"
"Graco","GGG","0.82%","1.59%","3.41%","3.23%","22.14%","-35.08%"
"Graham Holdings","GHC","1.29%","-0.96%","-3.67%","0.18%","-5.03%","-18.46%"
"Granite Construction","GVA","-2.07%","3.11%","-6.22%","-17.01%","-0.94%","55.14%"
"Greif Bros","GEF","0.64%","2.03%","1.58%","-11.08%","-5.81%","73.22%"
"Gulfport","GPOR","1.97%","3.16%","-10.65%","-10.58%","-2.06%","-64.53%"
