"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Buy","Neutral","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Sell","Strong Buy","Neutral","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Sell","Sell","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Neutral","Neutral","Strong Buy"
"ABM Industries","ABM","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Aceto","ACET","Strong Buy","Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Buy","Neutral","Neutral","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Sell","Neutral","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Buy","Neutral","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Aegion","AEGN","Strong Buy","Sell","Neutral","Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Neutral","Neutral"
"Albany","AIN","Sell","Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Allete","ALE","Strong Sell","Strong Sell","Buy","Strong Buy"
"AMAG","AMAG","Strong Buy","Strong Buy","Strong Buy","Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Strong Buy","Strong Buy","Neutral"
"American Equity Inv. Life","AEL","Sell","Sell","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"American States Water","AWR","Neutral","Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Sell","Sell","Sell","Strong Buy"
"American Woodmark","AMWD","Strong Buy","Neutral","Strong Sell","Neutral"
"Ameris","ABCB","Neutral","Strong Sell","Strong Sell","Neutral"
"AMERISAFE","AMSF","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Buy","Neutral"
"AngioDynamics","ANGO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Sell","Strong Sell","Buy","Strong Buy"
"Anika","ANIK","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Anixter","AXE","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"ATN Int","ATNI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Buy","Neutral","Strong Sell","Strong Buy"
"Axon Enterprise","AAXN","Neutral","Buy","Strong Buy","Strong Buy"
"AZZ","AZZ","Strong Sell","Neutral","Strong Buy","Strong Buy"
"B&G Foods","BGS","Sell","Buy","Strong Buy","Neutral"
"Badger Meter","BMI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Sell","Neutral","Strong Buy","Strong Buy"
"Banc of California","BANC","Sell","Strong Buy","Strong Buy","Buy"
"Banner","BANR","Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Strong Buy","Buy","Strong Sell","Strong Sell"
"Barnes&Noble","BKS","Neutral","Strong Buy","Neutral","Strong Sell"
"Bel Fuse B","BELFB","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Belmond","BEL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Benchmark Electronics","BHE","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Big 5","BGFV","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"BioTelemetry","BEAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Sell","Sell","Strong Buy","Strong Buy"
"Black Box","BBOX","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Sell","Strong Sell","Sell","Buy"
"Blucora","BCOR","Strong Sell","Strong Sell","Buy","Strong Buy"
"BofI Holding","BOFI","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Boise Cascad Llc","BCC","Strong Buy","Neutral","Neutral","Strong Buy"
"Boston Private","BPFH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bottomline","EPAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Strong Buy","Neutral","Buy","Strong Buy"
"Brady","BRC","Strong Sell","Strong Sell","Strong Sell","Buy"
"Briggs&Stratton","BGG","Strong Buy","Buy","Strong Sell","Strong Sell"
"Brinks","BCO","Buy","Neutral","Strong Buy","Strong Buy"
"Bristow","BRS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Brooks Automation","BRKS","Strong Buy","Strong Buy","Buy","Strong Buy"
"Buckle","BKE","Strong Buy","Buy","Neutral","Neutral"
"Cabot","CCMP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CACI","CACI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Buy","Strong Sell","Strong Sell","Strong Buy"
"CalAmp","CAMP","Buy","Sell","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Caleres","CAL","Strong Buy","Sell","Neutral","Strong Buy"
"California Water Service","CWT","Strong Sell","Strong Sell","Neutral","Buy"
"Callaway Golf","ELY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Neutral","Sell","Strong Sell","Neutral"
"Capstead Mortgage","CMO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Sell","Strong Sell","Sell","Strong Sell"
"Cardtronics","CATM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Career","CECO","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Carrizo Oil&Gas","CRZO","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Cato","CATO","Neutral","Neutral","Strong Buy","Strong Buy"
"Cavco","CVCO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Strong Sell","Strong Sell","Neutral","Strong Sell"
"Celadon","CGIP","Strong Buy","Strong Sell","Neutral","Strong Sell"
"Central Garden&Pet","CENT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Central Garden&Pet A","CENTA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Century Aluminum","CENX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CEVA","CEVA","Strong Buy","Sell","Strong Sell","Sell"
"Chart Industries","GTLS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Chemed","CHE","Strong Sell","Strong Sell","Buy","Strong Buy"
"Chemours Co","CC","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Chesapeake Lodging","CHSP","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Chuy's Holdings","CHUY","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Cincinnati Bell","CBB","Neutral","Strong Sell","Strong Sell","Strong Sell"
"CIRCOR","CIR","Neutral","Strong Buy","Neutral","Strong Sell"
"City Holding","CHCO","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Clearwater Paper","CLW","Strong Buy","Strong Buy","Sell","Strong Sell"
"Cloud Peak Energy","CLD","Neutral","Strong Sell","Strong Sell","Strong Sell"
"CMTSU Liquidation","CBRI","Neutral","Neutral","Strong Sell","Strong Sell"
"Cogent","CCOI","Strong Sell","Strong Sell","Buy","Strong Buy"
"Coherent","COHR","Strong Buy","Strong Buy","Buy","Neutral"
"Cohu","COHU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Columbia Banking","COLB","Strong Sell","Strong Sell","Strong Sell","Buy"
"Comfort Systems","FIX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Community Bank System","CBU","Strong Sell","Buy","Strong Buy","Strong Buy"
"Community Health Systems","CYH","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Computer Programs&Systems","CPSI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Comtech","CMTL","Neutral","Neutral","Strong Buy","Strong Buy"
"CONMED","CNMD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Consolidated Communications","CNSL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Contango Oil&Gas","MCF","Strong Sell","Strong Sell","Neutral","Sell"
"Cooper Stnd","CPS","Buy","Strong Buy","Strong Buy","Strong Buy"
"Core-Mark","CORE","Strong Buy","Strong Buy","Buy","Strong Sell"
"CoreSite","COR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Corindus Vascular Robotics","CR3","Neutral","Buy","Buy","Strong Sell"
"CorVel","CRVL","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CPB","CPF","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cray","CRAY","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Crocs","CROX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cross Country","CCRN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CryoLife","CRY","Strong Buy","Neutral","Strong Buy","Strong Buy"
"CSG Systems","CSGS","Strong Sell","Strong Sell","Strong Sell","Sell"
"CTS Corp","CTS","Buy","Sell","Strong Buy","Strong Buy"
"Cubic","CUB","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Customers Bancorp","CUBI","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"CVB Financial","CVBF","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Daktronics","DAKT","Neutral","Neutral","Strong Sell","Strong Sell"
"Darling Ingredients","DAR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dave & Buster’s Entertainment","PLAY","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Depomed","DEPO","Neutral","Strong Buy","Strong Buy","Neutral"
